carat,color,clarity,cut,price
0.73,H,VS2,IDEAL,1680.00
0.73,H,VS2,IDEAL,1680.00
0.57,E,VVS2,VERY GOOD,1680.00
0.96,J,SI2,IDEAL,1680.00
0.96,J,SI2,IDEAL,1680.00
0.96,J,SI2,VERY GOOD,1680.00
0.96,J,SI2,IDEAL,1680.00
0.7,G,VVS2,IDEAL,1680.00
0.96,J,SI2,VERY GOOD,1680.00
0.96,J,SI2,IDEAL,1680.00
0.96,J,SI2,IDEAL,1680.00
0.79,G,VS2,IDEAL,1680.00
0.76,H,VS1,SUPER IDEAL,1680.00
0.74,G,VS1,SUPER IDEAL,1680.00
0.72,F,SI1,SUPER IDEAL,1680.00
0.76,H,VS1,IDEAL,1680.00
0.76,H,VS1,SUPER IDEAL,1680.00
0.76,G,SI1,SUPER IDEAL,1680.00
0.92,J,VS2,IDEAL,1690.00
0.92,J,VS2,IDEAL,1690.00
0.75,E,SI2,SUPER IDEAL,1690.00
0.7,H,VS1,IDEAL,1690.00
0.7,H,VS1,IDEAL,1690.00
0.7,H,VS1,IDEAL,1690.00
0.7,H,VS1,IDEAL,1690.00
0.81,I,VS1,IDEAL,1690.00
0.9,J,SI1,IDEAL,1690.00
0.97,J,SI2,VERY GOOD,1690.00
0.78,H,VVS2,IDEAL,1690.00
0.8,H,VS2,SUPER IDEAL,1690.00
0.8,H,VS2,IDEAL,1690.00
0.8,H,VS2,IDEAL,1690.00
0.8,H,VS2,SUPER IDEAL,1690.00
0.73,H,VVS2,SUPER IDEAL,1690.00
0.73,F,VS2,SUPER IDEAL,1690.00
0.74,G,VS2,IDEAL,1690.00
0.73,H,VVS2,IDEAL,1690.00
0.58,D,VVS2,SUPER IDEAL,1690.00
0.93,J,VS2,IDEAL,1710.00
0.93,J,VS2,VERY GOOD,1710.00
0.93,J,VS2,IDEAL,1710.00
0.72,D,VS1,IDEAL,1710.00
0.84,I,VS2,IDEAL,1710.00
0.98,J,SI2,IDEAL,1710.00
0.82,H,VS1,IDEAL,1710.00
0.7,G,VS1,IDEAL,1710.00
0.94,J,VS2,IDEAL,1720.00
0.62,F,VVS2,IDEAL,1720.00
0.58,E,VVS2,VERY GOOD,1720.00
0.7,F,VS1,IDEAL,1720.00
0.76,G,VS1,IDEAL,1720.00
0.76,G,VS1,IDEAL,1720.00
0.76,G,VS1,IDEAL,1720.00
0.76,G,VS1,IDEAL,1720.00
0.72,D,VS1,IDEAL,1720.00
0.81,G,VS2,IDEAL,1720.00
0.9,J,VS1,IDEAL,1730.00
0.9,I,SI2,IDEAL,1730.00
0.9,I,SI2,GOOD,1730.00
0.9,I,SI2,IDEAL,1730.00
0.9,I,SI2,IDEAL,1730.00
0.9,I,SI2,VERY GOOD,1730.00
0.9,I,SI2,VERY GOOD,1730.00
0.9,I,SI2,IDEAL,1730.00
0.9,I,SI2,VERY GOOD,1730.00
0.9,I,SI2,IDEAL,1730.00
0.9,I,SI2,VERY GOOD,1730.00
0.9,I,SI2,IDEAL,1730.00
0.9,I,SI2,IDEAL,1730.00
0.9,I,SI2,VERY GOOD,1730.00
0.8,H,VVS2,IDEAL,1730.00
0.8,H,VVS2,IDEAL,1730.00
0.99,J,SI2,IDEAL,1730.00
0.72,G,VVS2,IDEAL,1730.00
0.8,H,VVS2,IDEAL,1730.00
0.72,G,VVS2,IDEAL,1730.00
0.8,H,VVS2,IDEAL,1730.00
0.78,G,SI1,IDEAL,1730.00
0.75,F,VS2,IDEAL,1730.00
0.78,G,SI1,IDEAL,1730.00
0.71,G,VS1,IDEAL,1730.00
0.7,D,VS2,VERY GOOD,1730.00
0.95,J,VS2,IDEAL,1740.00
0.95,J,VS2,IDEAL,1740.00
0.8,H,VS1,IDEAL,1740.00
0.86,H,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,VERY GOOD,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,VERY GOOD,1740.00
0.7,G,VVS1,IDEAL,1740.00
0.9,J,SI1,VERY GOOD,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,VERY GOOD,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,GOOD,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,VERY GOOD,1740.00
0.9,J,SI1,IDEAL,1740.00
0.9,J,SI1,IDEAL,1740.00
0.77,G,VS1,SUPER IDEAL,1740.00
0.77,G,VS1,SUPER IDEAL,1740.00
0.91,I,SI2,IDEAL,1750.00
0.91,I,SI2,IDEAL,1750.00
0.91,I,SI2,IDEAL,1750.00
0.76,H,VS2,IDEAL,1750.00
0.85,I,SI1,IDEAL,1750.00
0.54,D,VVS2,VERY GOOD,1750.00
0.76,F,SI1,IDEAL,1750.00
0.91,J,SI1,IDEAL,1750.00
0.91,J,SI1,IDEAL,1750.00
0.91,J,SI1,VERY GOOD,1750.00
0.91,J,SI1,IDEAL,1750.00
0.81,H,VVS2,IDEAL,1750.00
0.81,H,VVS2,IDEAL,1750.00
0.91,J,SI1,VERY GOOD,1750.00
0.91,J,SI1,IDEAL,1750.00
0.91,J,SI1,VERY GOOD,1750.00
0.73,G,VVS2,IDEAL,1750.00
0.73,G,VVS2,IDEAL,1750.00
0.73,G,VVS2,IDEAL,1750.00
0.73,G,VVS2,IDEAL,1750.00
0.73,G,VVS2,IDEAL,1750.00
0.73,G,VVS2,IDEAL,1750.00
0.73,G,VVS2,IDEAL,1750.00
0.91,J,SI1,VERY GOOD,1750.00
0.91,J,SI1,IDEAL,1750.00
0.91,J,SI1,IDEAL,1750.00
0.91,J,SI1,IDEAL,1750.00
0.91,J,SI1,IDEAL,1750.00
0.91,J,SI1,IDEAL,1750.00
0.91,J,SI1,IDEAL,1750.00
0.79,G,SI1,IDEAL,1750.00
0.76,F,VS2,VERY GOOD,1750.00
0.72,E,SI1,SUPER IDEAL,1750.00
0.79,H,VS1,IDEAL,1750.00
0.72,G,VS1,IDEAL,1750.00
0.81,I,VS2,SUPER IDEAL,1750.00
0.81,H,VS2,SUPER IDEAL,1750.00
0.92,J,VS1,IDEAL,1760.00
0.92,J,VS1,IDEAL,1760.00
0.7,G,VVS2,IDEAL,1760.00
0.7,G,VVS2,VERY GOOD,1760.00
0.7,G,VS2,SUPER IDEAL,1760.00
0.7,G,VS2,IDEAL,1760.00
0.7,G,VS2,IDEAL,1760.00
0.92,J,SI1,IDEAL,1760.00
0.92,J,SI1,IDEAL,1760.00
0.92,J,SI1,IDEAL,1760.00
0.92,J,SI1,IDEAL,1760.00
0.92,J,SI1,IDEAL,1760.00
0.92,J,SI1,IDEAL,1760.00
0.82,H,VVS2,IDEAL,1760.00
0.82,H,VVS2,IDEAL,1760.00
0.82,H,VVS2,IDEAL,1760.00
0.92,J,SI1,IDEAL,1760.00
0.76,H,VVS2,SUPER IDEAL,1760.00
0.76,F,SI1,SUPER IDEAL,1760.00
0.76,F,SI1,SUPER IDEAL,1760.00
0.76,H,VVS2,SUPER IDEAL,1760.00
0.77,G,VS2,IDEAL,1760.00
0.93,J,VS1,IDEAL,1770.00
0.92,I,SI2,IDEAL,1770.00
0.93,J,VS1,IDEAL,1770.00
0.77,F,SI1,IDEAL,1770.00
0.9,I,SI1,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.74,G,VVS2,IDEAL,1770.00
0.74,G,VVS2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,VERY GOOD,1770.00
0.9,I,SI2,IDEAL,1770.00
0.9,I,SI2,IDEAL,1770.00
0.77,F,VS2,IDEAL,1770.00
0.93,I,SI2,IDEAL,1780.00
0.93,I,SI2,IDEAL,1780.00
0.95,J,SI1,SUPER IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,VERY GOOD,1780.00
0.93,J,SI1,VERY GOOD,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.93,J,SI1,VERY GOOD,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,VERY GOOD,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,VERY GOOD,1780.00
0.93,J,SI1,VERY GOOD,1780.00
0.93,J,SI1,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,IDEAL,1780.00
0.91,I,SI2,VERY GOOD,1780.00
0.91,I,SI2,VERY GOOD,1780.00
0.81,H,VS1,SUPER IDEAL,1780.00
0.77,H,VVS2,IDEAL,1780.00
0.81,H,VS1,IDEAL,1780.00
0.81,G,SI1,SUPER IDEAL,1780.00
0.77,F,SI1,SUPER IDEAL,1780.00
0.79,G,VS1,IDEAL,1780.00
0.78,G,VS2,IDEAL,1780.00
0.84,G,VS2,SUPER IDEAL,1780.00
0.94,J,VS1,IDEAL,1790.00
0.9,J,VVS2,IDEAL,1790.00
0.7,G,VS1,VERY GOOD,1790.00
0.5,D,VVS1,VERY GOOD,1790.00
0.7,G,VS1,VERY GOOD,1790.00
0.7,G,VS1,VERY GOOD,1790.00
0.94,J,SI1,VERY GOOD,1790.00
0.8,H,VVS1,VERY GOOD,1790.00
0.94,J,SI1,IDEAL,1790.00
0.94,J,SI1,IDEAL,1790.00
0.71,D,VS2,IDEAL,1790.00
0.83,H,SI1,SUPER IDEAL,1790.00
0.94,I,SI2,IDEAL,1800.00
0.71,H,VVS1,IDEAL,1800.00
0.72,G,VS2,IDEAL,1800.00
0.72,G,VS2,IDEAL,1800.00
0.72,G,VS2,IDEAL,1800.00
0.9,J,VS2,IDEAL,1800.00
0.9,J,VS2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,VERY GOOD,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.9,J,VS2,IDEAL,1800.00
0.9,J,VS2,IDEAL,1800.00
0.9,J,VS2,VERY GOOD,1800.00
0.9,J,VS2,VERY GOOD,1800.00
0.73,G,VVS1,IDEAL,1800.00
0.73,G,VVS1,IDEAL,1800.00
0.92,I,SI2,VERY GOOD,1800.00
0.92,I,SI2,VERY GOOD,1800.00
0.9,J,VS2,IDEAL,1800.00
0.92,I,SI2,VERY GOOD,1800.00
0.92,I,SI2,IDEAL,1800.00
0.9,J,VS2,VERY GOOD,1800.00
0.92,I,SI2,IDEAL,1800.00
0.9,J,VS2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.9,J,VS2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.92,I,SI2,IDEAL,1800.00
0.9,J,VS2,VERY GOOD,1800.00
0.9,J,VS2,IDEAL,1800.00
0.9,J,VS2,IDEAL,1800.00
0.8,G,VS1,IDEAL,1800.00
0.82,G,SI1,SUPER IDEAL,1800.00
0.82,G,SI1,IDEAL,1800.00
0.9,J,VS2,VERY GOOD,1800.00
0.5,D,VVS1,IDEAL,1800.00
0.95,I,SI2,IDEAL,1820.00
0.7,G,VS1,IDEAL,1820.00
0.79,I,VS2,SUPER IDEAL,1820.00
0.97,J,SI1,SUPER IDEAL,1820.00
0.95,J,SI1,IDEAL,1820.00
0.95,J,SI1,IDEAL,1820.00
0.91,J,VS2,IDEAL,1820.00
0.93,I,SI2,VERY GOOD,1820.00
0.93,I,SI2,IDEAL,1820.00
0.91,J,VS2,VERY GOOD,1820.00
0.93,I,SI2,IDEAL,1820.00
0.93,I,SI2,IDEAL,1820.00
0.95,J,SI1,IDEAL,1820.00
0.93,I,SI2,IDEAL,1820.00
0.93,I,SI2,IDEAL,1820.00
0.95,J,SI1,IDEAL,1820.00
0.93,I,SI2,IDEAL,1820.00
0.93,I,SI2,IDEAL,1820.00
0.93,I,SI2,VERY GOOD,1820.00
0.91,J,VS2,IDEAL,1820.00
0.91,J,VS2,VERY GOOD,1820.00
0.93,I,SI2,IDEAL,1820.00
0.93,I,SI2,IDEAL,1820.00
0.93,I,SI2,IDEAL,1820.00
0.79,F,VS2,IDEAL,1820.00
0.7,H,VS2,VERY GOOD,1830.00
0.51,D,VVS1,GOOD,1830.00
0.73,G,VS2,IDEAL,1830.00
0.96,J,SI1,IDEAL,1830.00
0.96,J,SI1,IDEAL,1830.00
0.76,G,VS1,IDEAL,1830.00
0.7,F,VVS2,IDEAL,1830.00
0.74,G,VVS1,IDEAL,1830.00
0.96,J,SI1,VERY GOOD,1830.00
0.71,F,VS1,IDEAL,1830.00
0.96,I,SI2,IDEAL,1840.00
0.71,G,VS1,IDEAL,1840.00
0.71,G,VS1,IDEAL,1840.00
0.71,G,VS1,VERY GOOD,1840.00
0.9,J,VVS2,VERY GOOD,1840.00
0.71,G,VS1,IDEAL,1840.00
0.7,G,VS1,VERY GOOD,1840.00
0.71,G,VS1,IDEAL,1840.00
0.94,I,SI2,IDEAL,1840.00
0.94,I,SI2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.9,H,SI2,VERY GOOD,1840.00
0.9,H,SI2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.92,J,VS2,VERY GOOD,1840.00
0.9,H,SI2,VERY GOOD,1840.00
0.9,H,SI2,IDEAL,1840.00
0.94,I,SI2,IDEAL,1840.00
0.9,H,SI2,VERY GOOD,1840.00
0.9,H,SI2,IDEAL,1840.00
0.94,I,SI2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.92,J,VS2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.94,I,SI2,IDEAL,1840.00
0.9,H,SI2,VERY GOOD,1840.00
0.9,H,SI2,VERY GOOD,1840.00
0.9,H,SI2,IDEAL,1840.00
0.9,H,SI2,VERY GOOD,1840.00
0.9,H,SI2,IDEAL,1840.00
0.94,I,SI2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.92,J,VS2,VERY GOOD,1840.00
0.92,J,VS2,IDEAL,1840.00
0.9,H,SI2,VERY GOOD,1840.00
0.9,H,SI2,IDEAL,1840.00
0.92,J,VS2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.9,H,SI2,VERY GOOD,1840.00
0.9,H,SI2,IDEAL,1840.00
0.9,H,SI2,IDEAL,1840.00
0.92,J,VS2,IDEAL,1840.00
0.82,G,VS1,IDEAL,1840.00
0.8,H,VVS2,IDEAL,1840.00
0.76,G,VS1,IDEAL,1840.00
0.97,I,SI2,IDEAL,1850.00
0.93,J,VVS2,IDEAL,1850.00
0.7,G,VVS2,VERY GOOD,1850.00
0.81,H,VS2,IDEAL,1850.00
0.81,H,VS2,IDEAL,1850.00
0.91,J,VVS2,VERY GOOD,1850.00
0.7,G,VVS2,VERY GOOD,1850.00
0.81,H,VS2,IDEAL,1850.00
0.91,H,SI2,IDEAL,1850.00
0.95,I,SI2,IDEAL,1850.00
0.91,H,SI2,IDEAL,1850.00
0.91,H,SI2,IDEAL,1850.00
0.95,I,SI2,IDEAL,1850.00
0.95,I,SI2,IDEAL,1850.00
0.93,J,VS2,IDEAL,1850.00
0.93,J,VS2,VERY GOOD,1850.00
0.91,H,SI2,VERY GOOD,1850.00
0.95,I,SI2,VERY GOOD,1850.00
0.91,H,SI2,IDEAL,1850.00
0.95,I,SI2,IDEAL,1850.00
0.95,I,SI2,IDEAL,1850.00
0.95,I,SI2,IDEAL,1850.00
0.93,J,VS2,IDEAL,1850.00
0.91,H,SI2,IDEAL,1850.00
0.93,J,VS2,IDEAL,1850.00
0.95,I,SI2,IDEAL,1850.00
0.95,I,SI2,IDEAL,1850.00
0.91,H,SI2,VERY GOOD,1850.00
0.95,I,SI2,VERY GOOD,1850.00
0.7,G,VS1,IDEAL,1860.00
0.7,G,VS1,IDEAL,1860.00
0.7,G,VS1,SUPER IDEAL,1860.00
0.7,G,VS1,IDEAL,1860.00
0.7,G,VS1,IDEAL,1860.00
0.7,G,VS1,IDEAL,1860.00
0.7,G,VS1,IDEAL,1860.00
0.7,G,VS1,IDEAL,1860.00
0.7,G,VS1,SUPER IDEAL,1860.00
0.7,G,VS1,VERY GOOD,1860.00
0.7,G,VS1,IDEAL,1860.00
0.7,G,VS1,IDEAL,1860.00
0.96,I,SI2,IDEAL,1860.00
0.96,I,SI2,IDEAL,1860.00
0.76,G,VVS1,IDEAL,1860.00
0.96,I,SI2,IDEAL,1860.00
0.96,I,SI2,IDEAL,1860.00
0.96,I,SI2,IDEAL,1860.00
0.98,J,SI1,IDEAL,1860.00
0.81,H,VVS2,IDEAL,1860.00
0.82,G,VS2,IDEAL,1860.00
0.83,G,VS1,IDEAL,1860.00
0.6,D,IF,VERY GOOD,1870.00
0.8,I,VS1,IDEAL,1870.00
0.66,F,VVS1,VERY GOOD,1870.00
0.72,H,VVS1,IDEAL,1870.00
0.92,H,SI2,IDEAL,1870.00
0.9,J,VS1,IDEAL,1870.00
0.9,J,VS1,IDEAL,1870.00
0.9,J,VS1,IDEAL,1870.00
0.92,H,SI2,VERY GOOD,1870.00
0.9,J,VS1,IDEAL,1870.00
0.92,H,SI2,IDEAL,1870.00
0.92,H,SI2,IDEAL,1870.00
0.9,J,VS1,GOOD,1870.00
0.94,J,VS2,IDEAL,1870.00
0.9,J,VS1,IDEAL,1870.00
0.92,H,SI2,IDEAL,1870.00
0.9,J,VS1,IDEAL,1870.00
0.94,J,VS2,IDEAL,1870.00
0.9,J,VS1,IDEAL,1870.00
0.9,J,VS1,IDEAL,1870.00
0.71,G,VS1,IDEAL,1880.00
0.71,G,VVS2,VERY GOOD,1880.00
0.71,G,VVS2,VERY GOOD,1880.00
0.71,G,VS1,IDEAL,1880.00
0.73,G,VS1,IDEAL,1880.00
0.7,G,VVS2,IDEAL,1880.00
0.71,G,VS1,IDEAL,1880.00
0.97,I,SI2,VERY GOOD,1880.00
0.97,I,SI2,IDEAL,1880.00
0.97,I,SI2,IDEAL,1880.00
0.97,I,SI2,IDEAL,1880.00
0.95,J,VS2,IDEAL,1880.00
0.8,G,VVS2,IDEAL,1880.00
0.8,G,VVS2,IDEAL,1880.00
0.9,J,SI1,IDEAL,1880.00
0.61,D,IF,VERY GOOD,1890.00
0.7,E,SI1,GOOD,1890.00
0.83,I,VS2,SUPER IDEAL,1890.00
0.81,I,VS1,IDEAL,1890.00
0.93,H,SI2,IDEAL,1890.00
0.93,H,SI2,VERY GOOD,1890.00
0.93,H,SI2,IDEAL,1890.00
0.91,J,VS1,IDEAL,1890.00
0.91,J,VS1,IDEAL,1890.00
0.91,J,VS1,IDEAL,1890.00
0.91,J,VS1,IDEAL,1890.00
0.98,I,SI2,IDEAL,1890.00
0.93,H,SI2,IDEAL,1890.00
0.91,J,VS1,VERY GOOD,1890.00
0.76,G,VS2,IDEAL,1890.00
0.7,G,VVS2,VERY GOOD,1900.00
0.84,I,VS2,SUPER IDEAL,1900.00
0.84,I,VS2,SUPER IDEAL,1900.00
0.71,G,VVS2,IDEAL,1900.00
0.72,G,VS1,IDEAL,1900.00
0.7,F,VS2,VERY GOOD,1900.00
0.7,F,VS2,IDEAL,1900.00
0.7,F,VS2,IDEAL,1900.00
0.7,F,VS2,IDEAL,1900.00
0.92,J,VS1,VERY GOOD,1900.00
0.92,J,VS1,IDEAL,1900.00
0.94,H,SI2,VERY GOOD,1900.00
0.94,H,SI2,VERY GOOD,1900.00
0.92,J,VS1,IDEAL,1900.00
0.94,H,SI2,IDEAL,1900.00
0.71,H,VS1,GOOD,1910.00
0.7,G,VVS1,VERY GOOD,1910.00
0.54,D,VVS1,VERY GOOD,1910.00
0.99,I,SI2,VERY GOOD,1910.00
0.71,F,VS1,VERY GOOD,1910.00
0.8,H,VVS1,IDEAL,1910.00
0.53,D,IF,SUPER IDEAL,1910.00
0.7,F,VS1,GOOD,1910.00
0.9,I,VS2,IDEAL,1930.00
0.9,I,VS2,IDEAL,1930.00
0.9,I,VS2,IDEAL,1930.00
0.9,I,VS2,IDEAL,1930.00
0.9,I,VS2,IDEAL,1930.00
0.9,I,VS2,IDEAL,1930.00
0.9,I,VS2,IDEAL,1930.00
0.7,G,VVS2,IDEAL,1930.00
0.81,H,VS1,IDEAL,1930.00
0.7,G,VVS2,SUPER IDEAL,1930.00
0.71,G,VS1,SUPER IDEAL,1930.00
0.7,G,VVS2,IDEAL,1930.00
0.71,G,VS1,SUPER IDEAL,1930.00
0.7,G,VVS2,IDEAL,1930.00
0.73,G,VS1,SUPER IDEAL,1930.00
0.95,H,SI2,IDEAL,1930.00
0.7,F,VVS1,VERY GOOD,1930.00
0.93,J,VS1,IDEAL,1930.00
0.95,H,SI2,IDEAL,1930.00
0.93,J,VS1,IDEAL,1930.00
0.9,I,VS2,SUPER IDEAL,1930.00
0.9,I,VS2,SUPER IDEAL,1930.00
0.84,F,SI1,SUPER IDEAL,1930.00
0.72,D,IF,IDEAL,1930.00
0.94,J,VS1,IDEAL,1940.00
0.94,J,VS1,IDEAL,1940.00
0.9,J,VVS2,IDEAL,1940.00
0.9,J,VVS2,VERY GOOD,1940.00
0.96,H,SI2,IDEAL,1940.00
0.94,J,VS1,IDEAL,1940.00
0.9,I,VS2,SUPER IDEAL,1940.00
0.74,G,VVS2,IDEAL,1940.00
0.91,I,VS2,IDEAL,1950.00
0.91,I,VS2,IDEAL,1950.00
0.86,I,VS2,SUPER IDEAL,1950.00
0.71,G,VVS2,IDEAL,1950.00
0.73,G,VVS2,IDEAL,1950.00
0.71,G,VVS2,IDEAL,1950.00
0.71,G,VVS2,IDEAL,1950.00
0.71,G,VVS2,IDEAL,1950.00
0.71,G,VVS2,IDEAL,1950.00
0.72,F,VS2,SUPER IDEAL,1950.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,VERY GOOD,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,VERY GOOD,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,VERY GOOD,1960.00
0.9,I,SI1,IDEAL,1960.00
0.9,I,SI1,IDEAL,1960.00
0.96,I,SI2,IDEAL,1960.00
0.7,G,VS2,VERY GOOD,1960.00
0.7,G,VS2,IDEAL,1960.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.87,H,VS2,IDEAL,1970.00
0.9,I,SI1,IDEAL,1970.00
0.9,I,SI1,IDEAL,1970.00
0.9,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.91,I,SI1,IDEAL,1970.00
0.87,H,VS2,IDEAL,1970.00
